(object property),,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encuesta15,26,3,1,,3,3,3,3,3,3,2,3,3,0,0,0,0,1,,,0,1,1,1,0,0,1,0,0,1,1,,,,,1,2,1,3,3,1,3,3,Encuesta15,,,,,,,,,3,2,,1,3,3,2,,1,,,2,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,2,1,2,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,Encuesta15,,,
Encuesta16,27,1,1,,1,1,1,1,1,1,3,3,2,0,0,0,0,0,,,0,1,1,1,0,0,0,0,0,1,2,,,,,3,3,2,2,3,1,1,1,Encuesta16,,,,,,,,,5,,,3,,,,,5,,,,,5,,,,,4,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2,,1,,,,,,,3,Encuesta16,,,
Encuesta17,28,3,2,,1,1,1,1,1,1,4,4,1,1,0,0,0,0,,,1,1,0,0,0,1,0,0,0,1,5,,,,,1,1,1,3,3,1,1,1,Encuesta17,,,,,,,,,,4,5,,3,4,4,,5,,3,3,,5,5,,,,,,,2,,,,,,,,,,,,2,3,,,2,,,,,2,1,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,3,,Encuesta17,,,
Encuesta18,29,1,3,,3,3,4,4,3,2,3,3,3,0,0,0,0,1,,,1,1,1,1,1,1,1,1,0,2,5,,,,,1,3,1,1,3,1,2,1,Encuesta18,,,,,,,,,,5,,3,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,Encuesta18,,,
Encuesta19,30,5,3,,4,4,2,3,4,3,2,1,2,0,0,0,1,1,,,0,0,1,1,0,1,0,0,1,1,4,,,,,3,1,3,2,3,1,2,3,Encuesta19,,,,,,,,4,,4,,4,4,,,,,,4,4,,3,,,,,,4,3,4,,,,,,,,,,,,,,,,,,3,3,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,Encuesta19,,,
Encuesta20,31,3,1,,3,2,3,4,2,1,4,2,3,1,0,0,1,0,,,1,1,1,1,1,0,1,1,1,1,5,,,,,1,1,2,1,5,1,5,3,Encuesta20,,,,,,,,3,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,2,,2,,,,,,,,,,,,,,,,,,,5,,,Encuesta20,,,
Encuesta21,32,3,3,,2,4,4,4,3,4,3,3,2,0,0,0,0,1,,,1,1,1,1,1,1,1,1,0,2,5,,,,,1,3,1,1,3,1,2,1,Encuesta21,,,,,,,,,,4,,2,,3,,,,3,,3,,,,,,,,,,3,,,,,,3,3,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,Encuesta21,,,
Encuesta22,33,2,2,,5,4,5,3,1,1,3,3,2,0,0,0,1,0,,,1,1,1,1,1,0,0,1,1,1,2,,,,,1,1,1,3,2,1,3,2,Encuesta22,,,,,,,,,,3,,3,3,3,,,3,,,3,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,3,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,Encuesta22,,,
Encuesta23,34,1,5,,4,5,5,5,5,4,2,2,5,0,0,0,1,1,,,1,1,1,1,0,0,1,1,1,1,5,,,,,2,1,5,5,3,5,5,5,Encuesta23,,,,,,,,,,3,,2,,3,2,,3,3,3,3,2,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,Encuesta23,,,
Encuesta24,35,1,1,,3,5,4,3,1,4,1,1,3,0,0,0,1,1,,,0,0,0,0,0,0,0,0,0,1,1,,,,,3,3,3,3,1,1,1,5,Encuesta24,,,,,,,,,,3,,,3,3,3,,,2,,3,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Encuesta24,,,
Encuesta25,36,2,5,,4,1,5,5,5,4,3,3,3,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,3,,,,,3,4,2,4,4,1,1,3,Encuesta25,,,,,,,,2,,4,,3,4,,,,,,4,3,,3,,,,,,4,3,1,,,,,,,,,,,,,,,,,,4,3,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,Encuesta25,,,
Encuesta26,37,1,1,,5,5,2,2,2,2,4,2,3,1,1,0,1,1,,,1,1,1,1,0,0,1,0,0,1,4,,,,,4,2,2,4,3,1,1,2,Encuesta26,,,,,,,,4,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,2,2,,,2,,,2,,,Encuesta26,,,
Encuesta27,38,5,2,,4,5,5,4,5,3,3,3,3,0,0,0,0,1,,,0,1,1,1,0,1,1,1,0,1,4,,,,,2,1,1,2,3,1,1,3,Encuesta27,,,,,,,,,,3,,2,,3,,,,3,,3,,,,,,,,,,3,,,,,,1,3,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,2,3,,,,,,,,,Encuesta27,,,
